вслед за тем,3,(ADV | PARENTH | ADVPRO | CONJ | PART)(PR)(SPRO),2293,2280,8527,64865,40745,1120153,единый,,
ежели бы,2,(ADV | PARENTH | ADVPRO | CONJ | PART)(ADV | PARENTH | ADVPRO | CONJ | PART |V),2308,2305,10909,366802,33341221,единый,,,
и также,2,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),2352,2348,2531405,70974,14358364,вопрос,,,
а тем более,3,(ADV | PARENTH | ADVPRO | CONJ | PART) (SPRO) (ADV | PARENTH | ADVPRO | CONJ | PART) ,2365,2360,151437,26338,11714,1669601,вопрос,,
вследствие чего,2,(PR)(SPRO),2363,2363,6496,62049,5368295,единый,,,
кроме того что,3,(PR)(SPRO)(ADV | PARENTH | ADVPRO | SPRO | CONJ | PART),2385,2383,17198,74682,298502,1839989,единый,,
разве только,2,(ADV | PARENTH | ADVPRO | CONJ | PART)(ADV | PARENTH | ADVPRO | CONJ | PART),2453,2452,21426,353929,14358364,единый,,,
в случае если,3,(PR)(S)(ADV | PARENTH | ADVPRO | CONJ | PART) ,2460,2460,1064745,4068,22970,3756889,единый,,
но также,2,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),2499,2499,733638,77296,14358364,вопрос,,,
иначе говоря,2,(ADV | PARENTH | ADVPRO | CONJ | PART)(V),2515,2515,15280,33517,18982857,единый,,,
вследствие этого,2,(PR)(SPRO),2851,2540,6496,104806,5368295,единый,,,
и тем более,3,(ADV | PARENTH | ADVPRO | CONJ | PART) (SPRO) (ADV | PARENTH | ADVPRO | CONJ | PART) ,2611,2572,245595,26338,11714,1669601,вопрос,,
а не то,3,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART) (SPRO),2634,2583,110658,38898,36200,1291775,2 части,,
больше того,2,(ADVPRO | ADV | A | NUM | PARENTH | CONJ | PART)(SPRO),2671,2602,38996,29354,6598244,единый,,,
по меньшей мере,3,(PR)(A|ANUM|APRO)(S),2647,2647,480681,4078,46402,9011140,единый,,
но вместе с тем,4,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART) (PR) (SPRO),2699,2699,18521,14910,33034,12771,248420,вопрос,
потому как,2,(ADV | PARENTH | ADVPRO | CONJ | PART)(ADV | PARENTH | ADVPRO | CONJ | PART),2818,2818,248850,535543,14358364,единый,,,
как скоро,2,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),2827,2827,528446,37733,14358364,единый,,,
другими словами,2,(A | ANUM | APRO)(S),2858,2858,19319,19403,33734759,единый,,,
